State,City,Case_Type,Resource_Name,Resource_Type,Contact,search_key
Bihar,Patna,Sexual Harassment,Legal Clinic - Patna 78,Legal Clinic,+91-9645873482,Sexual Harassment Patna Bihar
Jammu & Kashmir,Jammu,Cyber Crime,Childline - Jammu 38,Childline,+91-9394333303,Cyber Crime Jammu Jammu & Kashmir
Jammu & Kashmir,Srinagar,Cyber Crime,District Legal Services Authority - Srinagar 36,District Legal Services Authority,+91-9124696633,Cyber Crime Srinagar Jammu & Kashmir
Haryana,Faridabad,Cyber Crime,District Legal Services Authority - Faridabad 86,District Legal Services Authority,+91-7891197822,Cyber Crime Faridabad Haryana
Jharkhand,Dhanbad,Cyber Crime,Childline - Dhanbad 43,Childline,+91-7117188345,Cyber Crime Dhanbad Jharkhand
Odisha,Bhubaneswar,Child Abuse,Women's Helpline - Bhubaneswar 24,Women's Helpline,+91-8001346276,Child Abuse Bhubaneswar Odisha
Delhi,New Delhi,Domestic Violence,Cyber Helpline - New Delhi 9,Cyber Helpline,+91-7512317965,Domestic Violence New Delhi Delhi
Jharkhand,Dhanbad,Property Dispute,Women's Helpline - Dhanbad 83,Women's Helpline,+91-7622950007,Property Dispute Dhanbad Jharkhand
Uttar Pradesh,Lucknow,Senior Citizen Abuse,District Legal Services Authority - Lucknow 90,District Legal Services Authority,+91-8223486446,Senior Citizen Abuse Lucknow Uttar Pradesh
Chhattisgarh,Durg,Dowry,Cyber Helpline - Durg 54,Cyber Helpline,+91-9314625137,Dowry Durg Chhattisgarh
Gujarat,Surat,Domestic Violence,District Legal Services Authority - Surat 21,District Legal Services Authority,+91-9345118923,Domestic Violence Surat Gujarat
Karnataka,Mangalore,Cyber Crime,District Legal Services Authority - Mangalore 6,District Legal Services Authority,+91-9512953661,Cyber Crime Mangalore Karnataka
Jharkhand,Ranchi,Property Dispute,Childline - Ranchi 85,Childline,+91-8093689233,Property Dispute Ranchi Jharkhand
Rajasthan,Jaipur,Caste Discrimination,Elder Help NGO - Jaipur 43,Elder Help NGO,+91-8000569013,Caste Discrimination Jaipur Rajasthan
Haryana,Panipat,Child Abuse,Legal Clinic - Panipat 30,Legal Clinic,+91-7205910436,Child Abuse Panipat Haryana
Rajasthan,Jaipur,Sexual Harassment,Women's Helpline - Jaipur 77,Women's Helpline,+91-9234647380,Sexual Harassment Jaipur Rajasthan
Karnataka,Bengaluru,Dowry,Women's Helpline - Bengaluru 63,Women's Helpline,+91-9092785311,Dowry Bengaluru Karnataka
Rajasthan,Jodhpur,Sexual Harassment,Legal Clinic - Jodhpur 16,Legal Clinic,+91-7647306312,Sexual Harassment Jodhpur Rajasthan
Uttar Pradesh,Varanasi,Senior Citizen Abuse,Legal Clinic - Varanasi 49,Legal Clinic,+91-9861556151,Senior Citizen Abuse Varanasi Uttar Pradesh
Maharashtra,Mumbai,Caste Discrimination,District Legal Services Authority - Mumbai 50,District Legal Services Authority,+91-8761213582,Caste Discrimination Mumbai Maharashtra
Assam,Guwahati,Child Abuse,Cyber Helpline - Guwahati 32,Cyber Helpline,+91-7972006358,Child Abuse Guwahati Assam
Uttar Pradesh,Lucknow,Cyber Crime,Legal Aid NGO - Lucknow 92,Legal Aid NGO,+91-7502612928,Cyber Crime Lucknow Uttar Pradesh
Maharashtra,Nagpur,Caste Discrimination,Legal Clinic - Nagpur 77,Legal Clinic,+91-8838997733,Caste Discrimination Nagpur Maharashtra
Karnataka,Mangalore,Sexual Harassment,District Legal Services Authority - Mangalore 96,District Legal Services Authority,+91-7498415244,Sexual Harassment Mangalore Karnataka
West Bengal,Howrah,Domestic Violence,Women's Helpline - Howrah 48,Women's Helpline,+91-9172783922,Domestic Violence Howrah West Bengal
Maharashtra,Pune,Senior Citizen Abuse,District Legal Services Authority - Pune 86,District Legal Services Authority,+91-8627463248,Senior Citizen Abuse Pune Maharashtra
Uttar Pradesh,Varanasi,Domestic Violence,Childline - Varanasi 33,Childline,+91-8994250999,Domestic Violence Varanasi Uttar Pradesh
Assam,Guwahati,Caste Discrimination,Legal Aid NGO - Guwahati 41,Legal Aid NGO,+91-7544817072,Caste Discrimination Guwahati Assam
Karnataka,Mangalore,Domestic Violence,Legal Aid NGO - Mangalore 88,Legal Aid NGO,+91-8615386258,Domestic Violence Mangalore Karnataka
Tamil Nadu,Madurai,Senior Citizen Abuse,Elder Help NGO - Madurai 40,Elder Help NGO,+91-8272285834,Senior Citizen Abuse Madurai Tamil Nadu
Karnataka,Bengaluru,Child Abuse,Legal Aid NGO - Bengaluru 39,Legal Aid NGO,+91-8110205840,Child Abuse Bengaluru Karnataka
Andhra Pradesh,Vijayawada,Sexual Harassment,Legal Clinic - Vijayawada 7,Legal Clinic,+91-9836105131,Sexual Harassment Vijayawada Andhra Pradesh
Rajasthan,Jaipur,Property Dispute,Legal Aid NGO - Jaipur 93,Legal Aid NGO,+91-9028051351,Property Dispute Jaipur Rajasthan
Jharkhand,Jamshedpur,Senior Citizen Abuse,Childline - Jamshedpur 44,Childline,+91-7843465514,Senior Citizen Abuse Jamshedpur Jharkhand
West Bengal,Siliguri,Caste Discrimination,Women's Helpline - Siliguri 73,Women's Helpline,+91-8979042302,Caste Discrimination Siliguri West Bengal
Jammu & Kashmir,Srinagar,Cyber Crime,Cyber Helpline - Srinagar 91,Cyber Helpline,+91-9908071848,Cyber Crime Srinagar Jammu & Kashmir
Delhi,New Delhi,Senior Citizen Abuse,Legal Aid NGO - New Delhi 39,Legal Aid NGO,+91-9563506563,Senior Citizen Abuse New Delhi Delhi
Odisha,Rourkela,Child Abuse,Cyber Helpline - Rourkela 90,Cyber Helpline,+91-7815625979,Child Abuse Rourkela Odisha
Jharkhand,Dhanbad,Dowry,Elder Help NGO - Dhanbad 58,Elder Help NGO,+91-8664978637,Dowry Dhanbad Jharkhand
Punjab,Ludhiana,Caste Discrimination,Childline - Ludhiana 90,Childline,+91-8911103520,Caste Discrimination Ludhiana Punjab
Madhya Pradesh,Indore,Domestic Violence,Cyber Helpline - Indore 54,Cyber Helpline,+91-8653233332,Domestic Violence Indore Madhya Pradesh
West Bengal,Kolkata,Domestic Violence,Legal Aid NGO - Kolkata 30,Legal Aid NGO,+91-8686821763,Domestic Violence Kolkata West Bengal
Maharashtra,Nagpur,Senior Citizen Abuse,Cyber Helpline - Nagpur 61,Cyber Helpline,+91-7449415265,Senior Citizen Abuse Nagpur Maharashtra
Odisha,Bhubaneswar,Senior Citizen Abuse,District Legal Services Authority - Bhubaneswar 58,District Legal Services Authority,+91-9679430301,Senior Citizen Abuse Bhubaneswar Odisha
Odisha,Bhubaneswar,Sexual Harassment,Women's Helpline - Bhubaneswar 36,Women's Helpline,+91-8964745956,Sexual Harassment Bhubaneswar Odisha
Madhya Pradesh,Jabalpur,Senior Citizen Abuse,Legal Aid NGO - Jabalpur 93,Legal Aid NGO,+91-7661020630,Senior Citizen Abuse Jabalpur Madhya Pradesh
Jharkhand,Jamshedpur,Dowry,Elder Help NGO - Jamshedpur 3,Elder Help NGO,+91-8915025281,Dowry Jamshedpur Jharkhand
Jammu & Kashmir,Srinagar,Property Dispute,Women's Helpline - Srinagar 71,Women's Helpline,+91-7987780443,Property Dispute Srinagar Jammu & Kashmir
Rajasthan,Jaipur,Senior Citizen Abuse,Elder Help NGO - Jaipur 24,Elder Help NGO,+91-8629022278,Senior Citizen Abuse Jaipur Rajasthan
Punjab,Ludhiana,Dowry,Cyber Helpline - Ludhiana 20,Cyber Helpline,+91-9298218407,Dowry Ludhiana Punjab
Karnataka,Mysore,Dowry,Elder Help NGO - Mysore 69,Elder Help NGO,+91-8230736291,Dowry Mysore Karnataka
Chhattisgarh,Bilaspur,Dowry,Legal Aid NGO - Bilaspur 47,Legal Aid NGO,+91-7497544353,Dowry Bilaspur Chhattisgarh
Jharkhand,Ranchi,Property Dispute,District Legal Services Authority - Ranchi 10,District Legal Services Authority,+91-8353042188,Property Dispute Ranchi Jharkhand
Punjab,Amritsar,Domestic Violence,Women's Helpline - Amritsar 88,Women's Helpline,+91-7176283737,Domestic Violence Amritsar Punjab
West Bengal,Siliguri,Domestic Violence,Legal Aid NGO - Siliguri 73,Legal Aid NGO,+91-8991631184,Domestic Violence Siliguri West Bengal
Assam,Guwahati,Sexual Harassment,Legal Clinic - Guwahati 84,Legal Clinic,+91-8833353904,Sexual Harassment Guwahati Assam
Tamil Nadu,Madurai,Cyber Crime,Women's Helpline - Madurai 61,Women's Helpline,+91-9822990033,Cyber Crime Madurai Tamil Nadu
Jharkhand,Jamshedpur,Sexual Harassment,Women's Helpline - Jamshedpur 76,Women's Helpline,+91-9002527823,Sexual Harassment Jamshedpur Jharkhand
Kerala,Kozhikode,Domestic Violence,Elder Help NGO - Kozhikode 45,Elder Help NGO,+91-7984687150,Domestic Violence Kozhikode Kerala
Jharkhand,Ranchi,Domestic Violence,Cyber Helpline - Ranchi 44,Cyber Helpline,+91-7468621400,Domestic Violence Ranchi Jharkhand
Jharkhand,Jamshedpur,Caste Discrimination,Cyber Helpline - Jamshedpur 52,Cyber Helpline,+91-7517470599,Caste Discrimination Jamshedpur Jharkhand
Jharkhand,Dhanbad,Property Dispute,Cyber Helpline - Dhanbad 15,Cyber Helpline,+91-8215361014,Property Dispute Dhanbad Jharkhand
Chhattisgarh,Durg,Dowry,Elder Help NGO - Durg 2,Elder Help NGO,+91-8557229038,Dowry Durg Chhattisgarh
Bihar,Patna,Cyber Crime,Elder Help NGO - Patna 99,Elder Help NGO,+91-9341860116,Cyber Crime Patna Bihar
Assam,Guwahati,Cyber Crime,District Legal Services Authority - Guwahati 74,District Legal Services Authority,+91-7155714230,Cyber Crime Guwahati Assam
Bihar,Patna,Property Dispute,Women's Helpline - Patna 79,Women's Helpline,+91-9979092136,Property Dispute Patna Bihar
Madhya Pradesh,Jabalpur,Child Abuse,Legal Clinic - Jabalpur 84,Legal Clinic,+91-9192373008,Child Abuse Jabalpur Madhya Pradesh
Maharashtra,Pune,Sexual Harassment,Legal Clinic - Pune 50,Legal Clinic,+91-8616010381,Sexual Harassment Pune Maharashtra
West Bengal,Siliguri,Caste Discrimination,Childline - Siliguri 25,Childline,+91-9946049384,Caste Discrimination Siliguri West Bengal
Uttar Pradesh,Varanasi,Cyber Crime,Elder Help NGO - Varanasi 37,Elder Help NGO,+91-7391725797,Cyber Crime Varanasi Uttar Pradesh
Punjab,Chandigarh,Domestic Violence,Cyber Helpline - Chandigarh 45,Cyber Helpline,+91-8636653762,Domestic Violence Chandigarh Punjab
Jammu & Kashmir,Jammu,Dowry,Women's Helpline - Jammu 72,Women's Helpline,+91-7698289230,Dowry Jammu Jammu & Kashmir
Telangana,Nizamabad,Property Dispute,Cyber Helpline - Nizamabad 70,Cyber Helpline,+91-7064590076,Property Dispute Nizamabad Telangana
Haryana,Gurgaon,Domestic Violence,Elder Help NGO - Gurgaon 41,Elder Help NGO,+91-8494790761,Domestic Violence Gurgaon Haryana
Tamil Nadu,Coimbatore,Cyber Crime,Childline - Coimbatore 29,Childline,+91-9639317290,Cyber Crime Coimbatore Tamil Nadu
West Bengal,Kolkata,Senior Citizen Abuse,Cyber Helpline - Kolkata 15,Cyber Helpline,+91-8579677801,Senior Citizen Abuse Kolkata West Bengal
Jammu & Kashmir,Srinagar,Senior Citizen Abuse,Women's Helpline - Srinagar 27,Women's Helpline,+91-7314365943,Senior Citizen Abuse Srinagar Jammu & Kashmir
Tamil Nadu,Chennai,Domestic Violence,Women's Helpline - Chennai 85,Women's Helpline,+91-9667910509,Domestic Violence Chennai Tamil Nadu
Jammu & Kashmir,Jammu,Dowry,Legal Aid NGO - Jammu 55,Legal Aid NGO,+91-9121125066,Dowry Jammu Jammu & Kashmir
West Bengal,Howrah,Cyber Crime,Elder Help NGO - Howrah 46,Elder Help NGO,+91-9898422739,Cyber Crime Howrah West Bengal
Rajasthan,Jodhpur,Property Dispute,Cyber Helpline - Jodhpur 73,Cyber Helpline,+91-9357058662,Property Dispute Jodhpur Rajasthan
Bihar,Gaya,Dowry,Women's Helpline - Gaya 1,Women's Helpline,+91-8179636092,Dowry Gaya Bihar
Karnataka,Bengaluru,Sexual Harassment,District Legal Services Authority - Bengaluru 85,District Legal Services Authority,+91-8638111396,Sexual Harassment Bengaluru Karnataka
Karnataka,Bengaluru,Domestic Violence,Cyber Helpline - Bengaluru 29,Cyber Helpline,+91-7913087192,Domestic Violence Bengaluru Karnataka
Haryana,Gurgaon,Caste Discrimination,Legal Aid NGO - Gurgaon 10,Legal Aid NGO,+91-9715467930,Caste Discrimination Gurgaon Haryana
Assam,Silchar,Domestic Violence,Legal Aid NGO - Silchar 3,Legal Aid NGO,+91-8988750862,Domestic Violence Silchar Assam
Karnataka,Bengaluru,Sexual Harassment,Legal Aid NGO - Bengaluru 25,Legal Aid NGO,+91-7910204811,Sexual Harassment Bengaluru Karnataka
Jammu & Kashmir,Srinagar,Dowry,Women's Helpline - Srinagar 96,Women's Helpline,+91-7610536846,Dowry Srinagar Jammu & Kashmir
Jharkhand,Ranchi,Domestic Violence,Childline - Ranchi 95,Childline,+91-8012698473,Domestic Violence Ranchi Jharkhand
Rajasthan,Udaipur,Sexual Harassment,District Legal Services Authority - Udaipur 28,District Legal Services Authority,+91-9696478733,Sexual Harassment Udaipur Rajasthan
Andhra Pradesh,Vijayawada,Caste Discrimination,Women's Helpline - Vijayawada 53,Women's Helpline,+91-9022043538,Caste Discrimination Vijayawada Andhra Pradesh
Uttar Pradesh,Varanasi,Senior Citizen Abuse,Legal Clinic - Varanasi 43,Legal Clinic,+91-7372825761,Senior Citizen Abuse Varanasi Uttar Pradesh
Uttar Pradesh,Kanpur,Cyber Crime,Cyber Helpline - Kanpur 8,Cyber Helpline,+91-7140033428,Cyber Crime Kanpur Uttar Pradesh
Andhra Pradesh,Visakhapatnam,Child Abuse,Cyber Helpline - Visakhapatnam 54,Cyber Helpline,+91-7754733361,Child Abuse Visakhapatnam Andhra Pradesh
Chhattisgarh,Bilaspur,Caste Discrimination,Cyber Helpline - Bilaspur 94,Cyber Helpline,+91-9142429650,Caste Discrimination Bilaspur Chhattisgarh
Punjab,Ludhiana,Property Dispute,Childline - Ludhiana 15,Childline,+91-7103566946,Property Dispute Ludhiana Punjab
Madhya Pradesh,Indore,Cyber Crime,Legal Aid NGO - Indore 59,Legal Aid NGO,+91-8806982679,Cyber Crime Indore Madhya Pradesh
Telangana,Warangal,Caste Discrimination,Elder Help NGO - Warangal 7,Elder Help NGO,+91-9640190826,Caste Discrimination Warangal Telangana
Rajasthan,Jaipur,Child Abuse,Women's Helpline - Jaipur 72,Women's Helpline,+91-8869191057,Child Abuse Jaipur Rajasthan
Karnataka,Bengaluru,Dowry,Cyber Helpline - Bengaluru 92,Cyber Helpline,+91-8363704976,Dowry Bengaluru Karnataka
Rajasthan,Jaipur,Caste Discrimination,Elder Help NGO - Jaipur 50,Elder Help NGO,+91-7163809128,Caste Discrimination Jaipur Rajasthan
Kerala,Thiruvananthapuram,Child Abuse,Cyber Helpline - Thiruvananthapuram 67,Cyber Helpline,+91-7430036939,Child Abuse Thiruvananthapuram Kerala
West Bengal,Howrah,Caste Discrimination,Cyber Helpline - Howrah 49,Cyber Helpline,+91-7980902853,Caste Discrimination Howrah West Bengal
Punjab,Amritsar,Domestic Violence,Childline - Amritsar 90,Childline,+91-8916017700,Domestic Violence Amritsar Punjab
Telangana,Hyderabad,Dowry,Childline - Hyderabad 94,Childline,+91-9613355777,Dowry Hyderabad Telangana
Andhra Pradesh,Guntur,Child Abuse,District Legal Services Authority - Guntur 35,District Legal Services Authority,+91-8111888483,Child Abuse Guntur Andhra Pradesh
Gujarat,Ahmedabad,Domestic Violence,Women's Helpline - Ahmedabad 94,Women's Helpline,+91-9625980183,Domestic Violence Ahmedabad Gujarat
Kerala,Kochi,Domestic Violence,Legal Clinic - Kochi 14,Legal Clinic,+91-9876882233,Domestic Violence Kochi Kerala
Bihar,Gaya,Cyber Crime,Childline - Gaya 12,Childline,+91-7055995690,Cyber Crime Gaya Bihar
Telangana,Nizamabad,Cyber Crime,Legal Aid NGO - Nizamabad 10,Legal Aid NGO,+91-8367606915,Cyber Crime Nizamabad Telangana
Odisha,Cuttack,Caste Discrimination,Legal Clinic - Cuttack 97,Legal Clinic,+91-7529631796,Caste Discrimination Cuttack Odisha
Jharkhand,Ranchi,Caste Discrimination,Legal Aid NGO - Ranchi 44,Legal Aid NGO,+91-8669394165,Caste Discrimination Ranchi Jharkhand
Telangana,Warangal,Dowry,District Legal Services Authority - Warangal 4,District Legal Services Authority,+91-9850269303,Dowry Warangal Telangana
Uttar Pradesh,Varanasi,Child Abuse,Childline - Varanasi 30,Childline,+91-9270274325,Child Abuse Varanasi Uttar Pradesh
Karnataka,Bengaluru,Senior Citizen Abuse,District Legal Services Authority - Bengaluru 24,District Legal Services Authority,+91-7045388246,Senior Citizen Abuse Bengaluru Karnataka
Andhra Pradesh,Guntur,Child Abuse,Childline - Guntur 74,Childline,+91-8286079118,Child Abuse Guntur Andhra Pradesh
Gujarat,Surat,Child Abuse,Legal Aid NGO - Surat 17,Legal Aid NGO,+91-9026955885,Child Abuse Surat Gujarat
Chhattisgarh,Bilaspur,Sexual Harassment,District Legal Services Authority - Bilaspur 44,District Legal Services Authority,+91-8584583955,Sexual Harassment Bilaspur Chhattisgarh
Tamil Nadu,Madurai,Child Abuse,Legal Clinic - Madurai 56,Legal Clinic,+91-8447688160,Child Abuse Madurai Tamil Nadu
Tamil Nadu,Coimbatore,Senior Citizen Abuse,Women's Helpline - Coimbatore 13,Women's Helpline,+91-9020698296,Senior Citizen Abuse Coimbatore Tamil Nadu
Madhya Pradesh,Jabalpur,Cyber Crime,Childline - Jabalpur 51,Childline,+91-9107703707,Cyber Crime Jabalpur Madhya Pradesh
Telangana,Warangal,Cyber Crime,Women's Helpline - Warangal 41,Women's Helpline,+91-9299026330,Cyber Crime Warangal Telangana
Rajasthan,Jodhpur,Property Dispute,Women's Helpline - Jodhpur 92,Women's Helpline,+91-7162900918,Property Dispute Jodhpur Rajasthan
Jharkhand,Ranchi,Senior Citizen Abuse,District Legal Services Authority - Ranchi 66,District Legal Services Authority,+91-7857833092,Senior Citizen Abuse Ranchi Jharkhand
Jammu & Kashmir,Srinagar,Caste Discrimination,Elder Help NGO - Srinagar 78,Elder Help NGO,+91-7791018852,Caste Discrimination Srinagar Jammu & Kashmir
Kerala,Kochi,Dowry,Women's Helpline - Kochi 25,Women's Helpline,+91-8192536120,Dowry Kochi Kerala
Kerala,Thiruvananthapuram,Child Abuse,District Legal Services Authority - Thiruvananthapuram 80,District Legal Services Authority,+91-8036280695,Child Abuse Thiruvananthapuram Kerala
Jammu & Kashmir,Srinagar,Domestic Violence,Legal Aid NGO - Srinagar 14,Legal Aid NGO,+91-9842504626,Domestic Violence Srinagar Jammu & Kashmir
Jharkhand,Jamshedpur,Caste Discrimination,Cyber Helpline - Jamshedpur 1,Cyber Helpline,+91-9537811843,Caste Discrimination Jamshedpur Jharkhand
Jharkhand,Dhanbad,Child Abuse,District Legal Services Authority - Dhanbad 21,District Legal Services Authority,+91-7933121097,Child Abuse Dhanbad Jharkhand
Maharashtra,Mumbai,Cyber Crime,Women's Helpline - Mumbai 38,Women's Helpline,+91-8866412436,Cyber Crime Mumbai Maharashtra
Telangana,Hyderabad,Domestic Violence,Women's Helpline - Hyderabad 7,Women's Helpline,+91-8313477937,Domestic Violence Hyderabad Telangana
Delhi,New Delhi,Domestic Violence,Elder Help NGO - New Delhi 50,Elder Help NGO,+91-9965990283,Domestic Violence New Delhi Delhi
Jammu & Kashmir,Jammu,Property Dispute,Elder Help NGO - Jammu 22,Elder Help NGO,+91-8253376760,Property Dispute Jammu Jammu & Kashmir
Rajasthan,Udaipur,Caste Discrimination,Legal Aid NGO - Udaipur 75,Legal Aid NGO,+91-7658204236,Caste Discrimination Udaipur Rajasthan
Assam,Silchar,Senior Citizen Abuse,Legal Clinic - Silchar 65,Legal Clinic,+91-9849211077,Senior Citizen Abuse Silchar Assam
Telangana,Hyderabad,Dowry,Legal Aid NGO - Hyderabad 25,Legal Aid NGO,+91-9576352322,Dowry Hyderabad Telangana
Maharashtra,Mumbai,Cyber Crime,District Legal Services Authority - Mumbai 78,District Legal Services Authority,+91-9710263604,Cyber Crime Mumbai Maharashtra
Bihar,Gaya,Domestic Violence,Elder Help NGO - Gaya 11,Elder Help NGO,+91-9135644639,Domestic Violence Gaya Bihar
Madhya Pradesh,Indore,Child Abuse,Women's Helpline - Indore 2,Women's Helpline,+91-7319789905,Child Abuse Indore Madhya Pradesh
Bihar,Gaya,Domestic Violence,Legal Clinic - Gaya 96,Legal Clinic,+91-8970718920,Domestic Violence Gaya Bihar
Chhattisgarh,Durg,Senior Citizen Abuse,Legal Clinic - Durg 68,Legal Clinic,+91-7181184447,Senior Citizen Abuse Durg Chhattisgarh
Bihar,Patna,Domestic Violence,Childline - Patna 83,Childline,+91-8173058990,Domestic Violence Patna Bihar
Rajasthan,Jaipur,Domestic Violence,District Legal Services Authority - Jaipur 84,District Legal Services Authority,+91-8504998861,Domestic Violence Jaipur Rajasthan
Rajasthan,Jodhpur,Dowry,Women's Helpline - Jodhpur 92,Women's Helpline,+91-9299175313,Dowry Jodhpur Rajasthan
Delhi,New Delhi,Caste Discrimination,District Legal Services Authority - New Delhi 87,District Legal Services Authority,+91-7652572027,Caste Discrimination New Delhi Delhi
